Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
Colorado,30,46,12,8,10,44,32,12,4,4,293,321,67,49,2,2010,18.086,199.929,13.329,15,-,0.737,1.5
Columbus,30,50,14,8,8,40,34,6,7,4,314,364,103,40,4,2010,20.011,219.628,14.642,15,-,0.732,1.75
D.C.,30,22,6,20,4,21,47,-26,3,2,322,353,71,49,2,2010,20.0,217.978,14.532,15,-,0.727,0.3
Dallas,30,50,12,4,14,42,28,14,9,2,339,352,93,48,3,2010,20.5,162.229,10.815,15,-,0.528,3.0
Houston,30,33,9,15,6,40,49,-9,4,0,299,330,107,46,8,2010,22.039,259.645,17.31,15,-,0.785,0.6
Kansas City,30,39,11,13,6,36,35,1,2,1,341,374,69,46,4,2010,21.0,154.306,10.287,15,12,0.49,0.8461538461538461
LAFC,30,59,18,7,5,44,26,18,4,1,356,295,68,50,1,2010,27.0,321.552,21.437,15,3,0.794,2.5714285714285716
New England,30,32,9,16,5,32,50,-18,3,2,328,336,78,45,4,2010,20.0,194.802,12.987,15,-,0.649,0.5625
New York,30,51,15,9,6,38,29,9,5,1,392,278,107,49,3,2010,25.0,276.616,18.441,15,1,0.738,1.6666666666666667
Philadelphia,30,31,8,15,7,35,49,-14,5,4,357,322,78,41,5,2010,18.5,288.795,19.253,15,4,1.041,0.5333333333333333
Salt Lake,30,56,15,4,11,45,20,25,4,4,335,348,95,51,0,2010,20.213,256.418,17.095,15,1,0.846,3.75
San Jose,30,46,13,10,7,34,33,1,3,0,286,305,83,40,4,2010,18.0,144.886,9.659,15,6,0.537,1.3
Seattle,30,48,14,10,6,39,35,4,6,5,333,385,84,47,2,2010,37.722,542.6,36.173,15,-,0.959,1.4
