Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
D.C.,26,26,8,16,2,42,50,-8,6,4,509,459,78,64,3,2001,20.0,258.213,21.518,12,-,1.076,0.5
Dallas,26,35,10,11,5,48,47,1,6,2,465,334,87,57,3,2001,20.5,163.465,12.574,13,-,0.613,0.9090909090909091
Kansas City,27,36,11,13,3,33,53,-20,3,2,424,419,81,45,3,2001,21.0,142.402,10.954,13,-,0.522,0.8461538461538461
LAFC,26,47,14,7,5,52,36,16,7,2,432,404,99,50,1,2001,27.0,226.035,17.387,13,-,0.644,2.0
Miami,26,53,16,5,5,57,36,21,5,3,390,398,84,59,5,2001,17.417,156.481,11.177,14,-,0.642,3.2
New England,27,27,7,14,6,35,52,-17,9,2,483,457,88,60,3,2001,20.0,203.501,15.654,13,-,0.783,0.5
New york,26,42,13,10,3,38,35,3,3,3,465,438,72,59,5,2001,25.0,270.477,20.806,13,-,0.832,1.3
San Jose,26,45,13,7,6,47,29,18,4,3,398,385,90,37,3,2001,18.0,125.25,9.635,13,-,0.535,1.8571428571428572
Tampa Bay,27,14,4,21,2,32,68,-36,8,7,386,361,100,57,6,2001,65.89,146.714,10.48,14,-,0.159,0.19047619047619047
Chicago,32,57,17,9,6,67,51,16,10,3,545,564,75,71,7,2000,24.955,214.189,13.387,16,-,0.536,1.8888888888888888
Colorado,32,43,13,15,4,43,59,-16,7,3,581,526,116,56,2,2000,18.086,201.28,12.58,16,-,0.696,0.8666666666666667
Columbus,32,38,11,16,5,48,58,-10,7,6,498,543,78,63,2,2000,20.011,247.22,15.451,16,-,0.772,0.6875
D.C.,32,29,8,18,5,44,63,-19,6,6,618,531,111,72,3,2000,20.0,297.279,18.58,16,-,0.929,0.4444444444444444
Dallas,32,46,14,14,4,54,54,0,5,4,588,521,103,62,4,2000,20.5,209.637,13.102,16,-,0.639,1.0
Kansas City,32,56,16,7,8,47,29,18,6,3,503,541,96,52,2,2000,21.0,133.214,8.326,16,-,0.397,2.2857142857142856
LAFC,32,50,14,10,8,47,37,10,7,3,516,504,113,53,4,2000,27.0,323.783,20.236,16,-,0.75,1.4
Miami,32,41,12,15,5,54,56,-2,7,4,516,540,132,60,9,2000,17.417,119.371,7.461,16,-,0.428,0.8
New England,32,45,13,13,6,47,49,-2,6,2,569,526,109,68,2,2000,20.0,247.409,15.463,16,-,0.773,1.0
New york,32,54,17,12,3,64,56,8,10,8,593,520,108,69,11,2000,25.0,281.878,17.617,16,-,0.705,1.4166666666666667
San Jose,32,29,7,17,8,35,50,-15,5,4,527,473,113,59,6,2000,18.0,199.364,12.46,16,-,0.692,0.4117647058823529
Tampa Bay,32,52,16,12,4,62,50,12,8,2,434,446,130,51,3,2000,65.89,151.232,9.452,16,-,0.144,1.3333333333333333
Chicago,32,48,18,14,0,51,36,13,5,22,495,450,98,56,6,1999,24.955,256.261,16.016,16,-,0.642,1.2857142857142858
Colorado,32,48,20,12,0,38,39,2,5,22,493,458,113,45,2,1999,18.086,224.459,14.029,16,-,0.776,1.6666666666666667
Columbus,32,45,19,13,0,48,39,11,4,20,474,471,115,41,0,1999,20.011,283.229,17.702,16,2,0.885,1.4615384615384615
D.C.,32,57,23,9,0,65,43,25,4,17,505,480,90,60,9,1999,20.0,278.711,17.419,16,3,0.871,2.5555555555555554
Dallas,32,51,19,13,0,54,35,16,3,22,448,446,115,45,5,1999,20.5,195.381,12.211,16,-,0.596,1.4615384615384615
Kansas City,32,20,8,24,0,33,53,-24,4,22,420,428,74,47,4,1999,21.0,130.924,8.183,16,-,0.39,0.3333333333333333
LAFC,32,54,20,12,0,49,29,19,4,22,457,425,115,53,2,1999,27.0,282.113,17.632,16,-,0.653,1.6666666666666667
Miami,32,29,13,19,0,42,59,-16,3,19,482,447,111,59,7,1999,17.417,139.021,8.689,16,-,0.499,0.6842105263157895
New England,32,26,12,20,0,38,53,-17,3,31,504,428,95,56,5,1999,20.0,267.752,16.735,16,-,0.837,0.6
New york,32,15,7,25,0,32,64,-34,5,19,398,419,96,48,6,1999,25.0,235.301,14.706,16,-,0.588,0.28
San Jose,32,37,19,13,0,48,49,6,7,25,510,412,82,59,3,1999,18.0,239.35,14.959,16,-,0.831,1.4615384615384615
Tampa Bay,32,32,14,18,0,51,50,-1,4,27,377,430,84,45,7,1999,65.89,209.7,13.106,16,-,0.199,0.7777777777777778
Chicago,32,56,20,12,0,62,45,18,4,8,436,462,103,40,3,1998,24.955,286.19,17.887,16,-,0.717,1.6666666666666667
Colorado,32,44,16,16,0,62,69,-7,5,11,397,415,114,59,5,1998,18.086,236.995,14.812,16,-,0.819,1.0
Columbus,32,45,15,17,0,67,56,6,6,20,456,503,98,42,3,1998,20.011,196.394,12.275,16,-,0.613,0.8823529411764706
D.C.,32,58,24,8,0,74,48,30,9,24,453,413,99,54,5,1998,20.0,256.127,16.008,16,-,0.8,3.0
Dallas,32,37,15,17,0,43,59,-14,5,16,433,383,83,63,6,1998,20.5,175.144,10.947,16,-,0.534,0.8823529411764706
Kansas City,32,32,12,20,0,45,50,-7,7,19,466,435,88,35,5,1998,21.0,129.163,8.073,16,-,0.384,0.6
LAFC,32,68,24,8,0,85,44,41,6,10,464,378,105,48,7,1998,27.0,348.549,21.784,16,-,0.807,3.0
Miami,32,35,15,17,0,46,68,-17,5,9,459,447,117,66,6,1998,17.417,164.548,10.284,16,-,0.591,0.8823529411764706
New England,32,29,11,21,0,53,66,-15,5,19,521,369,111,50,6,1998,20.0,307.044,19.19,16,-,0.96,0.5238095238095238
New york,32,39,15,17,0,54,63,-6,6,10,453,446,97,59,9,1998,25.0,264.316,16.52,16,-,0.661,0.8823529411764706
San Jose,32,33,13,19,0,48,60,-14,4,22,479,468,119,52,2,1998,18.0,218.45,13.653,16,-,0.759,0.6842105263157895
Tampa Bay,32,34,12,20,0,46,57,-15,6,20,385,413,135,51,4,1998,65.89,165.001,10.313,16,-,0.157,0.6
Colorado,32,38,14,18,0,50,59,-10,6,17,475,426,126,42,2,1997,18.086,189.095,11.818,16,-,0.654,0.7777777777777778
Columbus,32,39,15,17,0,42,41,0,5,20,439,484,108,33,3,1997,20.011,240.68,15.043,16,-,0.752,0.8823529411764706
D.C.,32,55,21,11,0,70,53,17,9,22,397,423,149,36,2,1997,20.0,267.251,16.703,16,-,0.835,1.9090909090909092
Dallas,32,42,16,16,0,55,49,7,10,15,478,465,125,44,4,1997,20.5,154.843,9.678,16,-,0.472,1.0
Kansas City,32,49,21,11,0,57,51,11,6,22,481,407,117,49,3,1997,21.0,144.943,9.059,16,-,0.431,1.9090909090909092
LAFC,32,44,16,16,0,55,44,9,6,20,464,464,124,51,5,1997,27.0,330.065,20.629,16,-,0.764,1.0
New England,32,37,15,17,0,40,53,-13,5,20,534,455,105,47,3,1997,20.0,340.236,21.265,16,-,1.063,0.8823529411764706
New York,32,35,13,19,0,43,53,-10,8,15,440,503,105,50,3,1997,25.0,270.388,16.899,16,-,0.676,0.6842105263157895
San Jose,32,30,12,20,0,55,59,-7,6,28,458,463,144,43,4,1997,18.0,217.096,13.569,16,-,0.754,0.6
Tampa Bay,32,45,17,15,0,55,60,-4,4,13,417,489,138,62,7,1997,65.89,181.321,11.333,16,-,0.172,1.1333333333333333
Colorado,32,29,11,21,0,44,59,-17,4,18,394,389,105,48,2,1996,18.086,164.513,10.282,16,-,0.569,0.5238095238095238
Columbus,32,37,15,17,0,59,60,-2,7,27,415,520,99,42,5,1996,20.011,303.182,18.949,16,-,0.947,0.8823529411764706
D.C.,32,46,16,16,0,62,56,4,8,16,417,403,89,47,2,1996,20.0,244.299,15.269,16,1,0.763,1.0
Dallas,32,41,17,15,0,50,48,4,5,19,425,472,98,53,4,1996,20.5,255.558,15.972,16,-,0.779,1.1333333333333333
Kansas City,32,41,17,15,0,61,63,1,8,20,412,404,94,35,3,1996,21.0,206.044,12.878,16,-,0.613,1.1333333333333333
LAFC,32,49,19,13,0,59,49,10,6,25,461,415,94,57,1,1996,27.0,463.665,28.979,16,-,1.073,1.4615384615384615
New England,32,33,15,17,0,43,56,-9,7,15,514,436,117,63,5,1996,20.0,304.392,19.025,16,-,0.951,0.8823529411764706
New York,32,39,15,17,0,45,47,-1,5,12,430,452,118,61,4,1996,25.0,379.46,23.716,16,-,0.949,0.8823529411764706
San Jose,32,39,15,17,0,50,50,-3,4,30,515,485,137,59,4,1996,18.0,275.658,17.229,16,-,0.957,0.8823529411764706
Tampa Bay,32,58,20,12,0,66,51,13,10,19,449,410,147,57,2,1996,65.89,186.856,11.679,16,-,0.177,1.6666666666666667
